cities,distance,runtime_ms,memory_kb
4,1136.3,0.92,1.92
8,1386.16,14.05,50.77
12,1486.25,875.55,2566.52
16,1608.22,17420.48,45488.85
20,1932.15,467563.29,844711.53
5,1136.73,3.06,3.15
10,1451.53,104.68,284.41
15,1602.63,7585.53,21224.17
21,1970.68,1005172.45,1756390.75
22,1971.21,"2,180,455.09","4,194,220"
