cities,distance,runtime_ms,memory_kb
4,1136.3,1.94,6.73
8,1388.41,45.52,7.45
12,1486.25,3042.08,154.03
16,1637.78,468310.88,154.63
5,1136.73,6.66,158.82
10,1491.54,566.2,153.46
15,1604.7,71269.72,154.7
