cities,distance,runtime_ms,samples
4,1136.30,0.67,6
8,1386.16,18.21,6
12,1486.25,131.69,7
16,1608.22,535.38,11
20,1933.13,1395.63,6
24,2034.57,3313.18,6
28,2399.44,6769.21,6
32,2567.94,16046.88,1
36,2313.43,28105.85,1
40,2544.01,42863.54,1
23,2026.72,2414.99,6
25,2036.54,4735.81,6
30,2258.84,8475.51,6
35,2343.54,22758.66,1
21,1971.66,1500.31,5
22,1971.21,2918.79,5
15,1602.63,494.48,5
17,1610.33,753.83,5
18,1871.05,948.62,5
19,1913.07,1128.56,5
44,2816.96,56872.98,1
45,2682.48,69903.14,1
5,1136.73,1.81,5
6,1205.34,4.80,5
7,1381.09,11.01,5
9,1433.24,29.92,5
10,1451.53,49.90,5
11,1481.27,133.17,5
13,1494.66,202.17,5
14,1526.43,375.66,5
48,2704.39,103154.61,1
50,3085.05,121971.70,1
60,3242.74,313524.61,1
70,3443.67,653199.52,1
80,3758.36,1348736.36,1
85,3647.66,1989848.24,1
26,2044.28,6771.99,1
27,2399.35,6277.99,1
29,2272.90,8754.54,1
31,2271.01,12123.46,1
33,2293.97,16346.01,1
34,2294.72,17750.99,1
37,2365.64,24839.22,1
38,2399.67,30400.84,1
39,2634.83,34511.67,1
90,3669.48,2855524.98,1
100,4139.56,4829757.39,1
125,4434.10,13120923.67,1
150,4842.22,34214642.38,1
