cities,distance,runtime_ms,samples
5,1136.73,1.07,6
10,1491.54,142.76,6
15,1604.70,15799.44,6
4,1136.30,0.89,7
8,1388.41,11.42,6
12,1486.25,603.54,6
16,1637.78,94236.64,1
20,1932.15,13954024.83,1
6,1205.34,2.23,6
7,1421.73,5.87,6
9,1476.89,42.22,6
11,1521.28,265.38,6
13,1495.67,1295.74,6
14,1527.44,4256.46,6
17,1610.33,431211.80,1
18,1871.05,1874935.55,1
19,1913.07,6359348.74,1
