cities,distance,runtime_ms,samples
5,1136.73,220.36,6
8,1386.16,307.40,6
10,1451.53,368.77,6
12,1486.25,732.44,6
4,1136.30,166.97,9
16,1608.22,3475.87,6
20,1932.15,5750.02,1
25,2036.54,10656.25,1
30,2258.84,86286.86,1
23,2025.73,30653.86,2
24,2033.59,49393.99,1
28,2178.64,44605.17,1
15,1602.63,1750.01,5
17,1610.33,5579.17,5
18,1871.05,5451.53,5
19,1913.07,3709.68,5
6,1205.34,233.11,5
7,1381.09,189.07,5
9,1433.24,468.67,5
11,1481.27,1124.29,5
13,1494.66,848.38,5
14,1526.43,963.96,5
21,1970.68,5044.96,5
22,1971.21,128392.90,1
32,2290.77,2119698.25,1
35,2310.64,824614.40,1
36,2313.43,476330.36,1
40,2448.66,3198171.09,1
26,2044.28,52256.30,1
27,2093.64,54742.37,1
29,2238.88,44791.48,1
31,2271.01,29633.96,1
33,2293.97,2889999.57,1
34,2294.72,84594.30,1
37,2365.64,2103808.21,1
38,2399.67,4556711.69,1
39,2434.67,535813.89,1
