cities,distance,runtime_ms,samples
4,1136.30,2.62,7
8,1386.16,28.00,13
12,1486.25,257.15,6
16,1608.22,698.40,11
20,1932.15,1916.62,11
24,2033.59,4703.92,6
28,2178.64,9252.58,16
32,2293.72,11524.10,6
36,2313.43,20509.19,1
40,2458.17,27933.10,1
23,2025.73,2942.82,6
25,2036.54,5327.71,16
30,2269.51,8798.26,11
35,2310.64,17766.57,1
5,1136.73,4.32,10
21,1970.68,1935.78,10
22,1971.21,2173.73,10
18,1871.05,1293.10,5
19,1913.07,1234.81,5
15,1602.63,593.37,5
17,1610.33,666.13,5
6,1205.34,6.49,5
7,1381.09,10.83,5
9,1433.24,54.64,5
10,1451.53,115.96,5
11,1481.27,126.49,5
13,1494.66,287.79,5
14,1526.43,395.18,5
44,2515.90,49442.56,1
45,2599.94,51040.92,1
48,2648.19,60788.19,1
50,2840.54,81068.12,1
60,3034.82,185090.16,1
70,3234.94,318526.07,1
80,3372.12,772147.10,1
90,3637.77,1578110.37,1
85,3494.33,978607.91,1
100,3736.43,2721150.52,1
125,4208.88,6966871.05,1
26,2044.28,6489.57,1
27,2093.64,7446.52,1
29,2238.88,8493.72,1
31,2273.95,8845.08,1
33,2296.81,12153.73,1
34,2294.72,14728.56,1
37,2365.64,22849.01,1
38,2399.67,24283.27,1
39,2434.67,25737.91,1
150,4674.24,18938840.46,1
175,5050.16,46724148.65,1
