cities,distance_bnb,runtime_ms_bnb,distance_hk,runtime_ms_hk,optimal_distance,bnb_optimality_%,hk_optimality_%
4,1136.3,2.01,1136.3,0.0,1136.3,100.0,100.0
8,1388.41,9.0,1386.16,0.0,1386.16,99.84,100.0
12,1486.25,638.17,1486.25,46.89,1486.25,100.0,100.0
16,1637.78,94236.64,1608.22,1734.37,1608.22,98.2,100.0
20,1932.15,13954024.83,1932.15,42742.46,1932.15,100.0,100.0
