cities,distance,runtime_ms,samples
4,1136.30,3634.44,6
8,1386.16,18654.16,6
12,1486.25,65635.70,1
16,1608.22,157121.03,1
20,1932.15,292601.91,1
5,1136.73,5683.80,1
6,1205.34,8563.21,1
7,1381.09,12283.37,1
9,1433.24,25928.58,1
10,1451.53,35097.66,1
11,1481.27,46324.74,1
13,1494.66,73598.02,1
14,1526.43,88634.03,1
15,1602.63,109450.46,1
17,1610.33,155823.15,1
18,1871.05,185172.37,1
19,1913.07,214329.23,1
